# RefractiveIndex.INFO Si/Franta-20C; Franta et al., Appl. Surf. Sci. 421, 405-419 (2017)
# https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/master/database/data/main/Si/nk/Franta-20C.yml
# energy_eV,wavelength_um,n,k
0.00554696951015,223.517,3.41730784039,5.72169194133e-05
0.00555975472976,223.003,3.41731029762,5.72269780248e-05
0.00557257397636,222.49,3.4173022465,5.7237333274e-05
0.00558542731262,221.978,3.41731096907,5.72475285987e-05
0.00559831480085,221.467,3.41730803981,5.72580405044e-05
0.00561121110799,220.958,3.4173008862,5.72687450066e-05
0.00562414145611,220.45,3.41731329097,5.7279243892e-05
0.00563710590471,219.943,3.41730015528,5.72902934281e-05
0.00565010451291,219.437,3.41732360411,5.73008525388e-05
0.00566313733945,218.932,3.41732058718,5.73119786795e-05
0.00567617845616,218.429,3.41731478528,5.73232752655e-05
0.00568927977387,217.926,3.41729765294,5.73348860885e-05
0.00570238925607,217.425,3.41731065882,5.73461157629e-05
0.00571553294457,216.925,3.41730853966,5.73577240986e-05
0.00572871089425,216.426,3.41730900547,5.73694143291e-05
0.00574192315957,215.928,3.41729830917,5.73814176567e-05
0.00575514307995,215.432,3.41730566777,5.7393243899e-05
0.00576842401459,214.936,3.41732097059,5.74050631111e-05
0.00578171246304,214.442,3.41730237519,5.74175786413e-05
0.00579503519063,213.949,3.41730207441,5.742991413e-05
0.00580839224762,213.457,3.41731081368,5.74422253464e-05
0.00582178368378,212.966,3.41731439587,5.74547512939e-05
0.00583520954837,212.476,3.41730763439,5.74675796598e-05
0.00584866989013,211.987,3.41731677952,5.74802694339e-05
0.00586213704019,211.5,3.4172998116,5.74935277963e-05
0.00587566635231,211.013,3.41730544894,5.75065356318e-05
0.00588920231038,210.528,3.41730987935,5.75196939041e-05
0.0059027726762,210.044,3.417308868,5.75330743462e-05
0.0059163774939,209.561,3.41731474844,5.75464697536e-05
0.00593001680704,209.079,3.41731108285,5.7560157346e-05
0.00594369065859,208.598,3.41730269109,5.7574056466e-05
0.0059573990909,208.118,3.41729782097,5.75880286152e-05
0.00597114214574,207.639,3.41730537965,5.7601924049e-05
0.00598489097421,207.162,3.41730395084,5.76161041353e-05
0.00599870326342,206.685,3.4172988852,5.76304791946e-05
0.00601252113865,206.21,3.41730948607,5.76447241013e-05
0.00602637352724,205.736,3.41731351474,5.76592143354e-05
0.00604026046584,205.263,3.4173026564,5.76740907627e-05
0.00605418199042,204.791,3.41730657107,5.76888533327e-05
0.00606813813626,204.32,3.41731476839,5.77036794522e-05
0.00608212893794,203.85,3.41730111288,5.77190109611e-05
0.00609615442937,203.381,3.41729832023,5.77342959011e-05
0.00611021464371,202.913,3.41731011086,5.7749471728e-05
0.00612430961343,202.446,3.41731185649,5.77649550303e-05
0.00613840897906,201.981,3.41730834457,5.77806654787e-05
0.00615257341353,201.516,3.41730963991,5.77964334078e-05
0.00616674202325,201.053,3.41730280081,5.78124781832e-05
0.00618097604068,200.59,3.417305048,5.7828509002e-05
0.00619521400697,200.129,3.4173094404,5.78446437285e-05
0.00620948662036,199.669,3.41730012129,5.78611513199e-05
0.00622382514846,199.209,3.41731071318,5.78774630342e-05
0.00623816727463,198.751,3.417310224,5.78941041501e-05
0.00625254412136,198.294,3.417306975,5.79109343372e-05
0.00626695571124,197.838,3.4173178836,5.7927667393e-05
0.00628140206603,197.383,3.41730625296,5.79449258822e-05
0.00629588320664,196.929,3.41730649076,5.79621270868e-05
0.00631039915308,196.476,3.41730744712,5.79794605489e-05
0.0063249499245,196.024,3.41730262332,5.79970371066e-05
0.00633953553916,195.573,3.41730453853,5.8014644878e-05
0.0063541234497,195.124,3.41731082916,5.80323244686e-05
0.0063687786516,194.675,3.41731117278,5.80502517378e-05
0.00638346874533,194.227,3.41731989237,5.80681839862e-05
0.00639819374548,193.78,3.41730766591,5.8086620085e-05
0.00641292049551,193.335,3.41731291781,5.8104907646e-05
0.00642771519519,192.89,3.41730892827,5.81235014703e-05
0.00644254483855,192.446,3.4173130047,5.81421078708e-05
0.00645737580467,192.004,3.4173052647,5.81610657466e-05
0.00647227521116,191.562,3.41730585933,5.81800328769e-05
0.00648717564697,191.122,3.4173024943,5.81992191727e-05
0.00650214484849,190.682,3.41730702565,5.82184234022e-05
0.00651711477892,190.244,3.41731771636,5.82376757354e-05
0.00653215379914,189.806,3.41731002383,5.82573951784e-05
0.00654722781448,189.369,3.41731557559,5.8277043426e-05
0.00656230209491,188.934,3.41731657259,5.82969246434e-05
0.00657744594932,188.499,3.41731107028,5.83170728726e-05
0.00659258975041,188.066,3.41730445296,5.83373971139e-05
0.00660780344609,187.633,3.4173089543,5.83576892983e-05
0.00662301676264,187.202,3.4173061227,5.83782652897e-05
0.00663830029287,186.771,3.41731134628,5.8398863132e-05
0.00665358311062,186.342,3.41731109775,5.84197148432e-05
0.00666893645953,185.913,3.4173048475,5.84408305267e-05
0.00668432479176,185.485,3.41730527704,5.8461994326e-05
0.00669971189729,185.059,3.41730860543,5.84832718443e-05
0.00671517000753,184.633,3.41730850733,5.85047723807e-05
0.00673062653833,184.209,3.41730180108,5.8526551599e-05
0.00674615438692,183.785,3.41730774545,5.85482808242e-05
0.0067617171715,183.362,3.41731726237,5.85701166155e-05
0.00677727783274,182.941,3.41730982775,5.85924120683e-05
0.00679291027833,182.52,3.41731101526,5.86147301938e-05
0.00680857761669,182.1,3.4173076481,5.86372983139e-05
0.00682427983113,181.681,3.41730277472,5.8660065653e-05
0.00684001690362,181.263,3.41731154834,5.86827735648e-05
0.00685578881479,180.846,3.41731255911,5.87057911924e-05
0.00687159554398,180.43,3.41731228533,5.87290090635e-05
0.00688743706913,180.015,3.41731056479,5.87524317918e-05
0.00690331336685,179.601,3.41730021485,5.87761848448e-05
0.00691922441235,179.188,3.41730874289,5.8799797102e-05
0.00693517017944,178.776,3.41730452073,5.88238147201e-05
0.00695115064054,178.365,3.41730547413,5.88479315186e-05
0.00696716576663,177.955,3.41730648481,5.88722379359e-05
0.00698321552724,177.546,3.41731234285,5.88966539263e-05
0.00699933940396,177.137,3.41730065118,5.89215682161e-05
0.00701545851864,176.73,3.41730491632,5.89464060399e-05
0.00703165204766,176.323,3.41731170726,5.89714018094e-05
0.00704784038018,175.918,3.41730051917,5.89969126296e-05
0.00706410342254,175.513,3.41730986951,5.90222769981e-05
0.00708036082462,175.11,3.41731352296,5.90479513315e-05
0.00709669322924,174.707,3.4173106119,5.90739545234e-05
0.00711306034824,174.305,3.41730282403,5.91002615292e-05
0.00712946214003,173.904,3.4173124968,5.91264902079e-05
0.00714589856142,173.504,3.41731054376,5.91531481176e-05
0.0071623695676,173.105,3.41730141109,5.91801632792e-05
0.00717887511218,172.707,3.41730726657,5.92071568159e-05
0.00719541514712,172.31,3.4173104382,5.92344400084e-05
0.00721203157411,171.913,3.41731785734,5.92618983436e-05
0.00722864063247,171.518,3.41730503074,5.92899626175e-05
0.00724528402796,171.124,3.4173127996,5.93179306871e-05
0.00726200424061,170.73,3.4173072797,5.93463971259e-05
0.00727875907172,170.337,3.41730854585,5.93750204754e-05
0.00729550553705,169.946,3.41730981773,5.94039258165e-05
0.0073123292383,169.555,3.41730853344,5.94331654915e-05
0.0073291873851,169.165,3.41730845631,5.94626822841e-05
0.00734607991658,168.776,3.41730938108,5.94924883667e-05
0.00736300677008,168.388,3.41730772493,5.95226551934e-05
0.00738001180952,168,3.41731210025,5.95530422799e-05
0.00739700731442,167.614,3.41730557453,5.95839547049e-05
0.00741408127825,167.228,3.41730530744,5.96151039083e-05
0.00743114516554,166.844,3.41731239232,5.96464816304e-05
0.00744828778085,166.46,3.41730994262,5.96783940711e-05
0.00746546471817,166.077,3.41731309237,5.97105890912e-05
0.00748267590452,165.695,3.41730525201,5.97433691226e-05
0.00749992126499,165.314,3.41730738417,5.97763809062e-05
0.00751720072271,164.934,3.41731143336,5.98097787962e-05
